12:31:26.81 25:44:44.67 22.199±0.019 21.635±0.016 21.346±0.017 — —
12:31:41.13 25:44:46.39 23.299±0.020 22.787±0.017 22.514±0.018 — —
12:31:29.25 25:44:48.99 24.043±0.030 23.340±0.027 23.054±0.030 — —
12:31:56.42 25:44:51.46 24.566±0.030 23.928±0.026 23.655±0.031 — —
12:31:20.13 25:44:54.24 24.490±0.044 24.071±0.054 23.667±0.053 — —
12:31:24.20 25:44:55.17 23.238±0.027 22.610±0.026 22.297±0.028 — —
12:31:04.09 25:44:58.92 24.511±0.029 23.979±0.030 23.649±0.032 — —
12:31:36.89 25:45:01.12 24.154±0.024 23.477±0.020 23.145±0.022 — —
12:31:21.14 25:45:01.04 24.602±0.068 24.011±0.069 23.804±0.084 — —
12:31:30.11 25:45:01.80 24.406±0.040 23.859±0.037 23.631±0.045 — —
12:31:36.19 25:45:03.24 23.530±0.021 23.008±0.018 22.742±0.019 — —
12:31:45.49 25:45:07.70 23.545±0.021 22.892±0.018 22.610±0.018 — —
12:31:20.71 25:45:07.49 22.332±0.021 21.747±0.017 21.478±0.019 — —
12:31:19.50 25:45:07.74 22.666±0.021 21.988±0.017 21.605±0.018 — —
12:31:21.31 25:45:09.07 24.409±0.064 23.646±0.057 23.364±0.061 — —
12:31:46.80 25:45:16.38 23.980±0.022 23.399±0.019 23.173±0.022 — —
12:31:17.29 25:45:18.18 23.543±0.024 23.003±0.022 22.732±0.026 — —
12:31:27.68 25:45:18.40 22.755±0.023 22.296±0.021 22.048±0.024 — —
12:31:24.74 25:45:18.72 23.893±0.069 23.367±0.074 23.129±0.086 — —
12:31:30.74 25:45:22.57 23.146±0.022 22.475±0.018 22.109±0.019 — —
12:31:29.55 25:45:24.70 23.321±0.028 22.775±0.026 22.531±0.031 — —
12:31:17.77 25:45:24.95 23.047±0.023 22.551±0.020 22.337±0.023 — —
12:31:29.85 25:45:25.38 23.088±0.024 22.620±0.025 22.330±0.026 — —
12:31:31.95 25:45:28.65 22.274±0.019 21.589±0.015 21.190±0.016 — —
12:31:10.87 25:45:29.48 23.497±0.021 22.945±0.018 22.644±0.019 — —
12:31:24.82 25:45:31.57 23.172±0.061 22.557±0.060 22.098±0.056 — —
12:31:28.53 25:45:35.93 23.270±0.031 22.719±0.031 22.400±0.034 — —
12:31:10.35 25:45:35.75 24.387±0.027 23.860±0.028 23.559±0.030 — —
12:31:53.28 25:45:41.44 24.860±0.031 24.279±0.032 23.950±0.034 — —
12:31:32.23 25:45:41.40 24.040±0.030 23.397±0.026 23.095±0.029 — —
12:31:16.75 25:45:43.20 22.965±0.021 22.405±0.019 22.171±0.021 — —
12:30:53.45 25:45:44.67 24.530±0.026 24.067±0.029 23.711±0.026 — —
12:31:27.32 25:45:49.82 22.260±0.026 21.603±0.023 21.243±0.026 — —
12:31:28.67 25:45:50.43 23.606±0.041 22.945±0.037 22.555±0.039 — —
12:31:30.51 25:45:54.40 21.861±0.019 21.203±0.016 20.809±0.017 — —
12:31:26.81 25:45:57.56 23.257±0.084 22.667±0.085 22.393±0.100 — —
12:31:29.28 25:45:58.17 23.570±0.041 22.956±0.038 22.687±0.045 — —
12:31:29.12 25:45:58.04 22.624±0.024 21.917±0.021 21.530±0.023 — —
12:31:29.49 25:45:58.89 22.194±0.021 21.654±0.018 21.395±0.019 — —
12:31:26.43 25:46:00.98 22.543±0.067 21.905±0.065 21.635±0.074 — —
12:31:27.87 25:46:02.39 21.639±0.022 21.036±0.018 20.721±0.020 — —
12:31:14.16 25:46:04.83 22.920±0.020 22.341±0.017 22.026±0.018 — —
12:31:30.40 25:46:06.56 22.232±0.020 21.708±0.017 21.449±0.018 — —
12:31:15.06 25:46:07.06 23.434±0.023 22.926±0.022 22.691±0.023 — —
12:31:24.49 25:46:07.68 21.181±0.071 20.571±0.076 20.286±0.084 — —
12:31:25.19 25:46:12.97 21.334±0.078 20.828±0.089 20.494±0.098 — —
12:31:25.56 25:46:13.69 21.476±0.075 20.883±0.077 20.557±0.085 — —
12:31:36.85 25:46:15.17 23.607±0.023 22.888±0.018 22.625±0.021 — —
12:31:28.11 25:46:16.35 22.469±0.030 21.902±0.030 21.560±0.030 — —
12:31:25.68 25:46:17.36 22.129±0.145 21.389±0.129 21.085±0.148 — —
12:31:25.10 25:46:17.36 21.795±0.160 21.172±0.157 20.686±0.151 — —
12:31:25.30 25:46:17.80 21.822±0.174 21.087±0.158 20.797±0.181 — —
12:31:30.26 25:46:18.20 22.705±0.022 22.196±0.020 21.977±0.023 — —
12:31:26.37 25:46:23.19 21.093±0.036 20.349±0.031 19.971±0.033 — —
12:31:28.53 25:46:24.28 23.087±0.040 22.555±0.041 22.286±0.047 — —
12:31:31.63 25:46:30.36 24.297±0.045 23.629±0.043 23.363±0.051 — —
12:31:25.65 25:46:30.36 21.171±0.074 20.548±0.074 20.170±0.077 — —
12:31:23.15 25:46:30.54 20.433±0.146 19.834±0.153 19.431±0.148 — —
12:31:30.77 25:46:32.27 22.363±0.020 21.879±0.017 21.606±0.019 — —
12:31:25.26 25:46:35.15 21.207±0.157 20.569±0.169 20.166±0.171 — —
12:31:25.77 25:46:37.38 21.769±0.106 21.183±0.112 20.865±0.124 — —
12:31:04.43 25:46:42.24 22.407±0.019 21.846±0.015 21.576±0.016 — —
12:31:14.74 25:46:46.34 21.961±0.019 21.336±0.015 21.035±0.016 — —
12:31:27.67 25:46:48.54 21.987±0.029 21.336±0.026 21.093±0.030 — —
12:31:13.82 25:46:49.11 24.383±0.036 23.860±0.039 23.523±0.040 — —
12:31:29.02 25:46:50.63 22.537±0.026 21.848±0.022 21.453±0.024 — —
12:31:26.85 25:46:51.74 23.514±0.151 22.873±0.148 22.588±0.167 — —
12:31:49.60 25:46:54.84 24.627±0.030 23.989±0.028 23.585±0.027 — —
12:31:38.53 25:46:56.82 21.929±0.019 21.358±0.015 21.114±0.016 — —
12:30:50.61 25:47:00.60 23.293±0.020 22.840±0.017 22.649±0.018 — —
12:31:29.62 25:47:01.43 22.871±0.025 22.202±0.022 21.835±0.023 — —
12:31:45.47 25:47:03.05 23.646±0.023 23.065±0.020 22.791±0.022 — —
12:31:29.24 25:47:06.32 22.846±0.024 22.260±0.021 21.946±0.023 — —
12:31:40.08 25:47:11.33 22.636±0.019 21.980±0.015 21.702±0.017 — —
12:31:46.09 25:47:14.57 24.486±0.026 24.069±0.027 23.824±0.030 — —
12:31:31.12 25:47:14.68 22.342±0.019 21.671±0.015 21.279±0.017 — —
12:31:35.67 25:47:14.86 23.969±0.024 23.398±0.021 23.221±0.029 — —
12:31:14.92 25:47:22.74 22.968±0.020 22.383±0.017 22.148±0.018 — —
12:31:50.36 25:47:27.53 24.732±0.030 24.069±0.031 23.771±0.031 — —
12:31:32.49 25:47:28.18 24.372±0.036 23.848±0.035 23.575±0.042 — —
12:31:27.82 25:47:33.90 23.864±0.050 23.226±0.046 22.852±0.049 — —
12:31:04.17 25:47:35.45 24.365±0.046 23.621±0.039 23.301±0.038 — —
12:31:16.73 25:47:38.94 24.667±0.046 23.985±0.041 23.705±0.045 — —
12:31:49.99 25:47:43.69 23.900±0.022 23.370±0.019 23.013±0.021 — —
12:31:17.07 25:47:45.85 24.113±0.031 23.464±0.028 23.208±0.031 — —
12:31:53.89 25:47:48.66 24.002±0.022 23.247±0.018 22.859±0.019 — —
12:30:57.06 25:47:49.02 25.041±0.033 24.287±0.028 23.989±0.030 — —
12:31:16.11 25:47:52.26 23.996±0.027 23.382±0.022 23.076±0.026 — —
12:31:28.52 25:47:54.78 21.100±0.019 20.451±0.015 20.100±0.016 — —
12:31:14.22 25:47:54.63 22.229±0.019 21.667±0.015 21.399±0.016 — —
12:31:28.53 25:47:56.62 22.691±0.022 22.150±0.018 21.867±0.021 — —
12:31:47.61 25:47:57.09 24.281±0.023 23.608±0.020 23.273±0.021 — —
12:31:43.15 25:47:58.23 23.551±0.021 23.022±0.018 22.783±0.019 — —
12:30:49.19 25:47:58.63 24.348±0.024 23.750±0.022 23.498±0.025 — —
12:31:37.36 25:48:04.36 24.153±0.023 23.679±0.022 23.403±0.026 — —
12:31:28.12 25:48:04.57 24.613±0.044 23.880±0.036 23.524±0.044 — —
12:31:27.51 25:48:04.47 24.092±0.040 23.369±0.034 22.938±0.035 — —
12:31:45.88 25:48:05.66 24.517±0.027 23.870±0.025 23.591±0.026 — —
